,precision,recall,f1-score,folder,model_size
weighted avg,0.9129254669781821,0.9163816168252785,0.913724168651843,1_7_25_1000,15.578041135363202
living macro avg,0.7409796302837581,0.591442357436751,0.6416727505015294,1_7_25_1000,15.578041135363202
living weighted avg,0.6253494623657538,0.5630762782900252,0.5843480378134308,1_7_25_1000,15.578041135363202
accuracy,0.9221729264740746,0.9221729264740746,0.9221729264740746,2_3_0_1000,11.09826664338432
macro avg,0.8370219164167658,0.624607890261422,0.6954151368975279,2_3_0_1000,11.09826664338432
weighted avg,0.9138257514503679,0.9221729264740746,0.9152257745468024,2_3_0_1000,11.09826664338432
living macro avg,0.8217704276803293,0.5595033179682853,0.6464586334044866,2_3_0_1000,11.09826664338432
living weighted avg,0.7044049201437187,0.5006286672254819,0.5718286228384575,2_3_0_1000,11.09826664338432
accuracy,0.9169234937514817,0.9169234937514817,0.9169234937514817,0.05_5_25_2500,26.998481852227204
macro avg,0.7820734776391624,0.6691986383006072,0.7063363225612271,0.05_5_25_2500,26.998481852227204
weighted avg,0.9140804226382233,0.9169234937514817,0.9146210193530738,0.05_5_25_2500,26.998481852227204
living macro avg,0.7577599972903092,0.6104707766417701,0.6601473234820492,0.05_5_25_2500,26.998481852227204
living weighted avg,0.6273594207831683,0.5750209555741828,0.5919776603513925,0.05_5_25_2500,26.998481852227204
accuracy,0.8876790733904562,0.8876790733904562,0.8876790733904562,1_6_50_1000,7.467567471987841
macro avg,0.6266661887939476,0.7335579493654854,0.664866904706825,1_6_50_1000,7.467567471987841
weighted avg,0.9061709501756849,0.8876790733904562,0.8941018282819382,1_6_50_1000,7.467567471987841
living macro avg,0.5721971201122917,0.6891535615033142,0.6126236283566864,1_6_50_1000,7.467567471987841
living weighted avg,0.47474061496633735,0.6366303436714166,0.5388512112302458,1_6_50_1000,7.467567471987841
accuracy,0.8778067531411928,0.8778067531411928,0.8778067531411928,3_3_50_1000,1.7920913763820803
macro avg,0.5534940554348905,0.7196939369094689,0.6137673703470607,3_3_50_1000,1.7920913763820803
